Order Region,n_orders,late_rate_pct
Central Africa,1677,57.96
South Asia,7731,56.27
East Africa,1852,55.94
Western Europe,27109,55.85
South of  USA ,4045,55.77
Eastern Europe,3920,55.66
East of USA,6915,55.66
Southeast Asia,9539,55.53
Central Asia,553,55.33
West Asia,6009,55.28
US Center ,5887,55.24
Central America,28341,54.75
North Africa,3232,54.52
Southern Europe,9431,54.38
Eastern Asia,7280,54.33
South America,14935,54.31
Northern Europe,9792,54.04
Oceania,10148,54.02
West of USA ,7993,53.96
Southern Africa,1157,53.33
Caribbean,8318,53.08
West Africa,3696,52.84
Canada,959,48.8
