Dept,corr_with_unemployment
50,-0.6621630463163406
87,-0.2774238720714009
65,-0.262513363201437
12,-0.2520533673647595
9,-0.22898713703943382
10,-0.2119040266920273
21,-0.1883648759660569
85,-0.1834281744573848
37,-0.18042275656967283
42,-0.17876583078544167
11,-0.17280024645189604
67,-0.15418715090609655
38,-0.15073002596744933
56,-0.1457090393507098
74,-0.14358566919572
16,-0.14233123453977542
40,-0.13469908360113486
17,-0.12515043512030263
1,-0.12206410006877655
44,-0.11992368066881101
82,-0.11709404298097319
4,-0.11389716934566212
93,-0.10677294888717348
92,-0.10651492839986541
97,-0.10013497965484783
14,-0.09858807370125497
94,-0.09093659663739272
77,-0.08369655263769231
98,-0.0821777927147814
48,-0.07849718068530306
46,-0.07764650725927422
3,-0.07669790168743457
5,-0.07197096686671106
8,-0.06561474607237879
52,-0.06208516337064896
95,-0.06064617733303153
90,-0.058874949287176064
72,-0.055208119765611054
7,-0.05242764347308365
20,-0.04815373294132052
91,-0.04110633059097058
49,-0.040661465715212446
80,-0.037269167317512286
83,-0.03264948640491579
22,-0.030672062482438176
32,-0.023623588496844747
18,-0.02361546334129331
81,-0.019873859863191533
13,-0.01929955929227971
31,-0.018337602708620556
6,-0.017436994351517073
2,-0.015320674097944654
28,-0.013382351719604176
58,-0.01169906889831393
51,-0.0096000233390854
45,-0.005705005980630391
47,-0.005076162559918649
41,0.0001051716911057957
99,0.0023596510338293798
27,0.004183878427324297
19,0.006272806902386676
36,0.017850187505396457
35,0.01803295002225385
59,0.022552540792473208
55,0.023086984118887023
25,0.049450474345992985
96,0.05868162092014107
29,0.060759221814902606
23,0.06112781930172919
79,0.06415483387870383
26,0.07174820876021452
78,0.0736191418821873
54,0.08118444998726784
30,0.09276028917530843
33,0.10231596448462503
71,0.12469225827920104
24,0.13307576673508498
60,0.14371361642888597
34,0.1464681872836364
